TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_KEY
if_dt_tienda_aux,unidadesDevolucionAIN0,int,
if_dt_tienda_aux,unidadesDevolucionCBN0,int,
if_dt_tienda_aux,unidadesDevolucionCCN0,int,
if_dt_tienda_aux,unidadesDevolucionCTN0,int,
if_dt_tienda_aux,unidadesDevolucionFdN0,int,
if_dt_tienda_aux,unidadesDevolucionFKN0,int,
if_dt_tienda_aux,unidadesDevolucionNRN0,int,
if_dt_tienda_aux,unidadesDevolucionPRN0,int,
if_dt_tienda_aux,unidadesDevolucionSvN0,int,
if_dt_tienda_aux,unidadesDevolucionTLN0,int,
if_dt_tienda_aux,unidadesDevolucionTLN1,int,
if_dt_tienda_aux,unidadesDevolucionTLN3,int,
if_dt_tienda_aux,unidadesDevolucionVp0,int,
if_dt_tienda_aux,unidadesVentaACN0,int,
if_dt_tienda_aux,unidadesVentaAIN0,int,
if_dt_tienda_aux,unidadesVentaCBN0,int,
if_dt_tienda_aux,unidadesVentaCCN0,int,
if_dt_tienda_aux,unidadesVentaCTN0,int,
if_dt_tienda_aux,unidadesVentaFdN0,int,
if_dt_tienda_aux,unidadesVentaFKN0,int,
if_dt_tienda_aux,unidadesVentaNRN0,int,
if_dt_tienda_aux,unidadesVentaPRN0,int,
if_dt_tienda_aux,unidadesVentaSvN0,int,
if_dt_tienda_aux,unidadesVentaTLN0,int,
if_dt_tienda_aux,unidadesVentaTLN1,int,
if_dt_tienda_aux,unidadesVentaTLN3,int,
if_dt_tienda_aux,unidadesVentaVp0,int,
if_dt_tienda_aux,updated_at,timestamp,
if_dt_tipo_cambio,created_at,timestamp,
if_dt_tipo_cambio,descripcion,varchar,
if_dt_tipo_cambio,estado,int,
if_dt_tipo_cambio,fecha,date,
if_dt_tipo_cambio,id_if_dt_tipo_cambio,int,PRI
if_dt_tipo_cambio,moneda,varchar,MUL
if_dt_tipo_cambio,orden,int,
if_dt_tipo_cambio,updated_at,timestamp,
if_dt_tipo_cambio,valor_euro,float,
if_estructura_tiendas,codigo_departamento,varchar,UNI
if_estructura_tiendas,coordinador,varchar,
if_estructura_tiendas,created_at,timestamp,
if_estructura_tiendas,id_if_estructura_tiendas,int,PRI
if_estructura_tiendas,modified_at,timestamp,
if_estructura_tiendas,pais,varchar,
if_estructura_tiendas,supervisor,varchar,
if_familias,clave,int,
if_familias,created_at,timestamp,
if_familias,espaniol,text,
if_familias,frances,text,
if_familias,id_if_familias,int,PRI
if_familias,ingles,text,
if_familias,italiano,text,
if_familias,modified_at,timestamp,
if_familias,polaco,text,
if_familias,portugues,text,
if_familias,rumano,text,
if_horas_contrato,created_at,timestamp,
if_horas_contrato,dni,varchar,
if_horas_contrato,fecha,date,
if_horas_contrato,horas,float,
