TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,COLUMN_KEY
ap_exclude,id_ap_exclude,bigint,,PRI
ap_exclude,ambito,varchar,50.0,
ap_exclude,campo1,varchar,50.0,
ap_exclude,campo2,varchar,50.0,
ap_exclude,fecha_creacion,timestamp,,
ap_exclude,fecha_modificacion,timestamp,,
ap_exclude,sistema,varchar,50.0,
ap_exclude,valor_adicional,varchar,50.0,
ex_bultos,estado,enum,1.0,MUL
ex_bultos,id_ex_cabeceras,int,,MUL
ex_bultos,id_ex_bulto,int,,PRI
ex_bultos,activo,tinyint,,
ex_bultos,fecha_asignacion,timestamp,,
ex_bultos,fecha_creacion,timestamp,,
ex_bultos,fecha_recepcion,timestamp,,
ex_bultos,id_pk_cabecera,text,65535.0,
ex_bultos,num_bulto,int,,
ex_bultos,reserva,enum,3.0,
ex_bultos,usuario_receptor,int,,
ex_cabeceras,codigo_departamento,int,,MUL
ex_cabeceras,id_ex_cabeceras,int,,PRI
ex_cabeceras,anio,int,,
ex_cabeceras,fecha_envio,timestamp,,
ex_cabeceras,fecha_primera_caja,timestamp,,
ex_cabeceras,fecha_primera_recepcion,timestamp,,
ex_cabeceras,fecha_recepcion_completa,timestamp,,
ex_cabeceras,id_departamento,int,,
ex_cabeceras,nsemana,int,,
ex_cabeceras,num_total_bultos,int,,
ex_cabeceras,usuario_primera_recepcion,int,,
ex_cabeceras,usuario_recepcion_completa,int,,
ex_impresion_masiva,codigo_departamento,int,,MUL
ex_impresion_masiva,nsemana,tinyint,,MUL
ex_impresion_masiva,id_ex_impresion_masiva,int,,PRI
ex_impresion_masiva,anio,smallint,,
ex_impresion_masiva,created_at,timestamp,,
ex_impresion_masiva,dia,tinyint,,
ex_impresion_masiva,id_departamento,int,,
ex_impresion_masiva,updated_at,timestamp,,
expediciones,codigo_departamento,int,,MUL
expediciones,estado,int,,MUL
expediciones,id_transportista,int,,MUL
expediciones,id_expedicion,varchar,50.0,PRI
expediciones,fecha_creacion,timestamp,,
expediciones,fecha_ultima_modificacion,timestamp,,
if_bd_cajas,tienda,varchar,25.0,MUL
if_bd_cajas,id_caja,int,,PRI
if_bd_cajas,apertura,varchar,20.0,
if_bd_cajas,cierre,varchar,20.0,
if_bd_cajas,created_at,timestamp,,
if_bd_cajas,fecha,date,,
if_bd_cajas,updated_at,timestamp,,
if_bd_dia_comparable,comparable_dia_n0,date,,MUL
if_bd_dia_comparable,id_dia_comparable,int,,PRI
if_bd_dia_comparable,comparable_dia_n1,date,,
if_bd_dia_comparable,created_at,timestamp,,
if_bd_dia_comparable,estado,int,,
if_bd_dia_comparable,motivo_comparable,text,65535.0,
if_bd_dia_comparable,pais,varchar,200.0,
if_bd_dia_comparable,updated_at,timestamp,,
if_bd_mapa,tienda,varchar,10.0,MUL
if_bd_mapa,if_bd_mapa,int,,PRI
if_bd_mapa,anio,int,,
if_bd_mapa,created_at,timestamp,,
if_bd_mapa,dia,varchar,2.0,
if_bd_mapa,entradas,int,,
if_bd_mapa,euros,float,,
if_bd_mapa,fecha,date,,
if_bd_mapa,hora,varchar,2.0,
if_bd_mapa,horaReal,int,,
if_bd_mapa,mes,varchar,2.0,
if_bd_mapa,personas,int,,
if_bd_mapa,semana,int,,
if_bd_mapa,tickets,int,,
if_bd_mapa,updated_at,timestamp,,
if_bd_mapa,vendedores,int,,
if_bd_persona,persona,varchar,100.0,MUL
if_bd_persona,if_dt_persona_live,int,,PRI
if_bd_persona,anio,int,,
if_bd_persona,areaManager,int,,
if_bd_persona,coordinador,int,,
if_bd_persona,countryManager,int,,
if_bd_persona,created_at,timestamp,,
if_bd_persona,eurosDevolucionACN0,float,,
if_bd_persona,eurosDevolucionAIN0,float,,
if_bd_persona,eurosDevolucionCBN0,float,,
if_bd_persona,eurosDevolucionCCN0,float,,
if_bd_persona,eurosDevolucionCTN0,float,,
if_bd_persona,eurosDevolucionFdN0,float,,
if_bd_persona,eurosDevolucionFKN0,float,,
if_bd_persona,eurosDevolucionNRN0,float,,
if_bd_persona,eurosDevolucionPRN0,float,,
if_bd_persona,eurosDevolucionSvN0,float,,
if_bd_persona,eurosDevolucionTLN0,float,,
if_bd_persona,eurosDevolucionVp0,float,,
if_bd_persona,eurosNetoTLN1,float,,
if_bd_persona,eurosNetoTLN2,float,,
if_bd_persona,eurosNetoTLN3,float,,
if_bd_persona,eurosVentaACN0,float,,
if_bd_persona,eurosVentaAIN0,float,,
if_bd_persona,eurosVentaCBN0,float,,
if_bd_persona,eurosVentaCCN0,float,,
if_bd_persona,eurosVentaCTN0,float,,
if_bd_persona,eurosVentaFdN0,float,,
if_bd_persona,eurosVentaFKN0,float,,
if_bd_persona,eurosVentaNRN0,float,,
if_bd_persona,eurosVentaPRN0,float,,
if_bd_persona,eurosVentaSvN0,float,,
if_bd_persona,eurosVentaTLN0,float,,
if_bd_persona,eurosVentaVp0,float,,
if_bd_persona,fecha,date,,
if_bd_persona,grupo,varchar,1.0,
if_bd_persona,horas_fichadas,float,,
if_bd_persona,mes,int,,
if_bd_persona,pais,varchar,50.0,
if_bd_persona,semana,int,,
if_bd_persona,storeManager,int,,
if_bd_persona,tickets3Cs,int,,
if_bd_persona,ticketsDevolucionACN0,int,,
if_bd_persona,ticketsDevolucionAIN0,int,,
if_bd_persona,ticketsDevolucionCBN0,int,,
if_bd_persona,ticketsDevolucionCCN0,int,,
if_bd_persona,ticketsDevolucionCTN0,int,,
if_bd_persona,ticketsDevolucionFdN0,int,,
if_bd_persona,ticketsDevolucionFKN0,int,,
if_bd_persona,ticketsDevolucionNRN0,int,,
if_bd_persona,ticketsDevolucionPRN0,int,,
if_bd_persona,ticketsDevolucionSvN0,int,,
if_bd_persona,ticketsDevolucionTLN0,int,,
if_bd_persona,ticketsDevolucionVp0,int,,
if_bd_persona,ticketsVentaACN0,int,,
if_bd_persona,ticketsVentaAIN0,int,,
if_bd_persona,ticketsVentaCBN0,int,,
if_bd_persona,ticketsVentaCCN0,int,,
if_bd_persona,ticketsVentaCTN0,int,,
if_bd_persona,ticketsVentaFdN0,int,,
if_bd_persona,ticketsVentaFKN0,int,,
if_bd_persona,ticketsVentaNRN0,int,,
