TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,COLUMN_KEY
ap_exclude,id_ap_exclude,bigint,NULL,PRI
ap_exclude,ambito,varchar,50,
ap_exclude,campo1,varchar,50,
ap_exclude,campo2,varchar,50,
ap_exclude,fecha_creacion,timestamp,NULL,
ap_exclude,fecha_modificacion,timestamp,NULL,
ap_exclude,sistema,varchar,50,
ap_exclude,valor_adicional,varchar,50,
ex_bultos,estado,enum,1,MUL
ex_bultos,id_ex_cabeceras,int,NULL,MUL
ex_bultos,id_ex_bulto,int,NULL,PRI
ex_bultos,activo,tinyint,NULL,
ex_bultos,fecha_asignacion,timestamp,NULL,
ex_bultos,fecha_creacion,timestamp,NULL,
ex_bultos,fecha_recepcion,timestamp,NULL,
ex_bultos,id_pk_cabecera,text,65535,
ex_bultos,num_bulto,int,NULL,
ex_bultos,reserva,enum,3,
ex_bultos,usuario_receptor,int,NULL,
ex_cabeceras,codigo_departamento,int,NULL,MUL
ex_cabeceras,id_ex_cabeceras,int,NULL,PRI
ex_cabeceras,anio,int,NULL,
ex_cabeceras,fecha_envio,timestamp,NULL,
ex_cabeceras,fecha_primera_caja,timestamp,NULL,
ex_cabeceras,fecha_primera_recepcion,timestamp,NULL,
ex_cabeceras,fecha_recepcion_completa,timestamp,NULL,
ex_cabeceras,id_departamento,int,NULL,
ex_cabeceras,nsemana,int,NULL,
ex_cabeceras,num_total_bultos,int,NULL,
ex_cabeceras,usuario_primera_recepcion,int,NULL,
ex_cabeceras,usuario_recepcion_completa,int,NULL,
ex_impresion_masiva,codigo_departamento,int,NULL,MUL
ex_impresion_masiva,nsemana,tinyint,NULL,MUL
ex_impresion_masiva,id_ex_impresion_masiva,int,NULL,PRI
ex_impresion_masiva,anio,smallint,NULL,
ex_impresion_masiva,created_at,timestamp,NULL,
ex_impresion_masiva,dia,tinyint,NULL,
ex_impresion_masiva,id_departamento,int,NULL,
ex_impresion_masiva,updated_at,timestamp,NULL,
expediciones,codigo_departamento,int,NULL,MUL
expediciones,estado,int,NULL,MUL
expediciones,id_transportista,int,NULL,MUL
expediciones,id_expedicion,varchar,50,PRI
expediciones,fecha_creacion,timestamp,NULL,
expediciones,fecha_ultima_modificacion,timestamp,NULL,
if_bd_cajas,tienda,varchar,25,MUL
if_bd_cajas,id_caja,int,NULL,PRI
if_bd_cajas,apertura,varchar,20,
if_bd_cajas,cierre,varchar,20,
if_bd_cajas,created_at,timestamp,NULL,
if_bd_cajas,fecha,date,NULL,
if_bd_cajas,updated_at,timestamp,NULL,
if_bd_dia_comparable,comparable_dia_n0,date,NULL,MUL
if_bd_dia_comparable,id_dia_comparable,int,NULL,PRI
if_bd_dia_comparable,comparable_dia_n1,date,NULL,
if_bd_dia_comparable,created_at,timestamp,NULL,
if_bd_dia_comparable,estado,int,NULL,
if_bd_dia_comparable,motivo_comparable,text,65535,
if_bd_dia_comparable,pais,varchar,200,
if_bd_dia_comparable,updated_at,timestamp,NULL,
if_bd_mapa,tienda,varchar,10,MUL
if_bd_mapa,if_bd_mapa,int,NULL,PRI
if_bd_mapa,anio,int,NULL,
if_bd_mapa,created_at,timestamp,NULL,
if_bd_mapa,dia,varchar,2,
if_bd_mapa,entradas,int,NULL,
if_bd_mapa,euros,float,NULL,
if_bd_mapa,fecha,date,NULL,
if_bd_mapa,hora,varchar,2,
if_bd_mapa,horaReal,int,NULL,
if_bd_mapa,mes,varchar,2,
if_bd_mapa,personas,int,NULL,
if_bd_mapa,semana,int,NULL,
if_bd_mapa,tickets,int,NULL,
if_bd_mapa,updated_at,timestamp,NULL,
if_bd_mapa,vendedores,int,NULL,
if_bd_persona,persona,varchar,100,MUL
if_bd_persona,if_dt_persona_live,int,NULL,PRI
if_bd_persona,anio,int,NULL,
if_bd_persona,areaManager,int,NULL,
if_bd_persona,coordinador,int,NULL,
if_bd_persona,countryManager,int,NULL,
if_bd_persona,created_at,timestamp,NULL,
if_bd_persona,eurosDevolucionACN0,float,NULL,
if_bd_persona,eurosDevolucionAIN0,float,NULL,
if_bd_persona,eurosDevolucionCBN0,float,NULL,
if_bd_persona,eurosDevolucionCCN0,float,NULL,
if_bd_persona,eurosDevolucionCTN0,float,NULL,
if_bd_persona,eurosDevolucionFdN0,float,NULL,
if_bd_persona,eurosDevolucionFKN0,float,NULL,
if_bd_persona,eurosDevolucionNRN0,float,NULL,
if_bd_persona,eurosDevolucionPRN0,float,NULL,
if_bd_persona,eurosDevolucionSvN0,float,NULL,
if_bd_persona,eurosDevolucionTLN0,float,NULL,
if_bd_persona,eurosDevolucionVp0,float,NULL,
if_bd_persona,eurosNetoTLN1,float,NULL,
if_bd_persona,eurosNetoTLN2,float,NULL,
if_bd_persona,eurosNetoTLN3,float,NULL,
if_bd_persona,eurosVentaACN0,float,NULL,
if_bd_persona,eurosVentaAIN0,float,NULL,
if_bd_persona,eurosVentaCBN0,float,NULL,
if_bd_persona,eurosVentaCCN0,float,NULL,
if_bd_persona,eurosVentaCTN0,float,NULL,
if_bd_persona,eurosVentaFdN0,float,NULL,
if_bd_persona,eurosVentaFKN0,float,NULL,
if_bd_persona,eurosVentaNRN0,float,NULL,
if_bd_persona,eurosVentaPRN0,float,NULL,
if_bd_persona,eurosVentaSvN0,float,NULL,
if_bd_persona,eurosVentaTLN0,float,NULL,
if_bd_persona,eurosVentaVp0,float,NULL,
if_bd_persona,fecha,date,NULL,
if_bd_persona,grupo,varchar,1,
if_bd_persona,horas_fichadas,float,NULL,
if_bd_persona,mes,int,NULL,
if_bd_persona,pais,varchar,50,
if_bd_persona,semana,int,NULL,
if_bd_persona,storeManager,int,NULL,
if_bd_persona,tickets3Cs,int,NULL,
if_bd_persona,ticketsDevolucionACN0,int,NULL,
if_bd_persona,ticketsDevolucionAIN0,int,NULL,
if_bd_persona,ticketsDevolucionCBN0,int,NULL,
if_bd_persona,ticketsDevolucionCCN0,int,NULL,
if_bd_persona,ticketsDevolucionCTN0,int,NULL,
if_bd_persona,ticketsDevolucionFdN0,int,NULL,
if_bd_persona,ticketsDevolucionFKN0,int,NULL,
if_bd_persona,ticketsDevolucionNRN0,int,NULL,
