TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,COLUMN_KEY
ma_cantidad_apertura,id_ma_cantidad_apertura,int,NULL,PRI
ma_cantidad_apertura,activo,int,NULL,
ma_cantidad_apertura,color,int,NULL,
ma_cantidad_apertura,fecha_creacion,timestamp,NULL,
ma_cantidad_apertura,fecha_modificacion,timestamp,NULL,
ma_cantidad_apertura,id_ma_articulo,int,NULL,
ma_cantidad_apertura,tipo_orden,int,NULL,
ma_cantidad_apertura,tipo_tienda,varchar,11,
ma_cantidad_apertura,unidades,int,NULL,
ma_categoria_articulos,descripcion,varchar,255,MUL
ma_categoria_articulos,id_categoria_articulo,int,NULL,PRI
ma_categoria_articulos,activo,int,NULL,
ma_codigobarras,codigo,varchar,20,MUL
ma_codigobarras,color,varchar,10,MUL
ma_codigobarras,cod_barras,varchar,50,UNI
ma_codigobarras,ean,varchar,14,UNI
ma_codigobarras,ean_secundario,varchar,14,UNI
ma_codigobarras,id_ma_codigobarras,int,NULL,PRI
ma_codigobarras,created_at,timestamp,NULL,
ma_codigobarras,imagen,varchar,150,
ma_codigobarras,modified_at,timestamp,NULL,
ma_descatalogados,codigo_articulo,varchar,100,MUL
ma_descatalogados,id_ma_descatalogado,int,NULL,PRI
ma_descatalogados,color_articulo,varchar,20,
ma_descatalogados,created_at,timestamp,NULL,
ma_descatalogados,estado,int,NULL,
ma_descatalogados,motivo_descatalogado,varchar,200,
ma_descatalogados,updated_at,timestamp,NULL,
ma_descatalogados,usuario_modificador,int,NULL,
ma_descatalogados,veces_modificado,int,NULL,
ma_deshabilitado_apertura,activo,tinyint,NULL,MUL
ma_deshabilitado_apertura,codigo_articulo,varchar,50,MUL
ma_deshabilitado_apertura,id_ma_deshabilitado_apertura,int,NULL,PRI
ma_deshabilitado_apertura,color_articulo,varchar,6,
ma_disenios,id_ma_disenio,int,NULL,PRI
ma_disenios,activo,int,NULL,
ma_disenios,descripcion,varchar,255,
ma_familia,id_familia,int,NULL,PRI
ma_familia,activo,int,NULL,
ma_familia,descripcion,varchar,20,
ma_grupo,grupo_ps,varchar,10,UNI
ma_grupo,id_ma_grupo,int,NULL,PRI
ma_grupo,activo,int,NULL,
ma_grupo,comercial,varchar,255,
ma_grupo,descripcion,varchar,50,
ma_grupo,fecha_creacion,timestamp,NULL,
ma_grupo,fecha_modificacion,datetime,NULL,
ma_grupo,id_tipo_web,varchar,100,
ma_grupo,mostrar_compatibilidades_stock,int,NULL,
ma_grupo,ordenacion,int,NULL,
ma_grupo,prioridad_mx,int,NULL,
ma_grupo,rfid_umbrales_entrada_mercancia,int,NULL,
ma_grupo,tipo,varchar,100,
ma_grupo,usuario_creacion,varchar,40,
ma_grupo,usuario_modificacion,varchar,30,
ma_lista_actualizada,codigo_articulo,varchar,20,MUL
ma_lista_actualizada,estado,tinyint,NULL,MUL
ma_lista_actualizada,francia,tinyint,NULL,MUL
ma_lista_actualizada,italia,tinyint,NULL,MUL
ma_lista_actualizada,mexico,tinyint,NULL,MUL
ma_lista_actualizada,polonia,tinyint,NULL,MUL
ma_lista_actualizada,portugal,tinyint,NULL,MUL
ma_lista_actualizada,id_ma_lista_actualizada,int,NULL,PRI
ma_lista_actualizada,color_articulo,varchar,6,
ma_lista_actualizada,created_at,timestamp,NULL,
ma_lista_actualizada,eeuu,tinyint,NULL,
ma_lista_actualizada,espana,tinyint,NULL,
ma_lista_actualizada,hay_stock,tinyint,NULL,
ma_lista_actualizada,modified_at,timestamp,NULL,
ma_lista_actualizada,rumania,tinyint,NULL,
ma_maestro_articulos,activo,int,NULL,MUL
ma_maestro_articulos,criteriox03,varchar,100,MUL
ma_maestro_articulos,id_categoria,int,NULL,MUL
ma_maestro_articulos,id_grupo,int,NULL,MUL
ma_maestro_articulos,id_marca_dispositivo,int,NULL,MUL
ma_maestro_articulos,id_modelo_dispositivo,int,NULL,MUL
ma_maestro_articulos,marca_real,varchar,100,MUL
ma_maestro_articulos,modelo_real,varchar,100,MUL
ma_maestro_articulos,ubicacion01,varchar,4,MUL
ma_maestro_articulos,codigo_articulo,varchar,20,UNI
ma_maestro_articulos,id_maestro_articulo,int,NULL,PRI
ma_maestro_articulos,activo_espana,int,NULL,
ma_maestro_articulos,activo_francia,int,NULL,
ma_maestro_articulos,activo_italia,int,NULL,
ma_maestro_articulos,activo_mexico,int,NULL,
ma_maestro_articulos,activo_portugal,int,NULL,
ma_maestro_articulos,colores,varchar,300,
ma_maestro_articulos,compatible,int,NULL,
ma_maestro_articulos,created_at,timestamp,NULL,
ma_maestro_articulos,criterioyo4,varchar,100,
ma_maestro_articulos,descripcion2,varchar,100,
ma_maestro_articulos,descripcion3,varchar,100,
ma_maestro_articulos,descripcion4,varchar,100,
ma_maestro_articulos,descripcion_EN,varchar,255,
ma_maestro_articulos,descripcion_ES,varchar,255,
ma_maestro_articulos,descripcion_FR,varchar,255,
ma_maestro_articulos,descripcion_GER,varchar,255,
ma_maestro_articulos,descripcion_IT,varchar,255,
ma_maestro_articulos,descripcion_PL,varchar,255,
ma_maestro_articulos,descripcion_PT,varchar,255,
ma_maestro_articulos,descripcion_RO,varchar,255,
ma_maestro_articulos,id_serie,int,NULL,
ma_maestro_articulos,imagen,varchar,150,
ma_maestro_articulos,ma_seccion,int,NULL,
ma_maestro_articulos,marca_picking,varchar,45,
ma_maestro_articulos,marca_ps,varchar,50,
ma_maestro_articulos,modelo_ps,varchar,50,
ma_maestro_articulos,orden_marca_picking,int,NULL,
ma_maestro_articulos,picking_espana,int,NULL,
ma_maestro_articulos,picking_francia,int,NULL,
ma_maestro_articulos,picking_italia,int,NULL,
ma_maestro_articulos,picking_mexico,int,NULL,
ma_maestro_articulos,picking_portugal,int,NULL,
ma_maestro_articulos,picktolight,int,NULL,
ma_maestro_articulos,prioridad_grupo,int,NULL,
ma_maestro_articulos,prioridad_marca,int,NULL,
ma_maestro_articulos,prioridad_modelo,int,NULL,
ma_maestro_articulos,prioridad_picktolight,int,NULL,
ma_maestro_articulos,referencia,varchar,50,
ma_maestro_articulos,ubicacion02,varchar,4,
ma_maestro_articulos,ubicacion03,varchar,8,
ma_maestro_articulos,updated_at,timestamp,NULL,
ma_maestro_articulos,usr_modificacion,int,NULL,
ma_marca_comercial,descripcion,varchar,255,UNI
ma_marca_comercial,id_marca_comercial,int,NULL,PRI
ma_marca_comercial,activo,int,NULL,
ma_marca_comercial,licencia,int,NULL,
ma_marcas_dispositivos,clave,varchar,50,UNI
ma_marcas_dispositivos,id_marca_dispositivo,int,NULL,PRI
ma_marcas_dispositivos,activo,int,NULL,
ma_marcas_dispositivos,comercial,varchar,200,
ma_marcas_dispositivos,descripcion,varchar,255,
ma_marcas_dispositivos,id_marca_web,varchar,255,
ma_marcas_dispositivos,info_marca_web,varchar,255,
ma_marcas_dispositivos,ordenacion,int,NULL,
ma_marcas_dispositivos,principal,int,NULL,
ma_marcas_dispositivos,prioridad_mx,int,NULL,
ma_modelo_dispositivo,id_marca_dispositivo,varchar,11,MUL
ma_modelo_dispositivo,tipo_orden,int,NULL,MUL
ma_modelo_dispositivo,id_modelo_dispositivo,int,NULL,PRI
ma_modelo_dispositivo,activo,int,NULL,
ma_modelo_dispositivo,clasificacion_cluster,int,NULL,
ma_modelo_dispositivo,cluster_str,varchar,20,
ma_modelo_dispositivo,comercial,varchar,200,
ma_modelo_dispositivo,descripcion,varchar,30,
ma_modelo_dispositivo,fecha_creacion,timestamp,NULL,
ma_modelo_dispositivo,fecha_modificacion,timestamp,NULL,
ma_modelo_dispositivo,marca_ph,varchar,255,
ma_modelo_dispositivo,nombre_ph,varchar,255,
ma_modelo_dispositivo,ordenacion,int,NULL,
ma_modelo_dispositivo,prioridad_mx,int,NULL,
ma_modelo_dispositivo,referencia,varchar,20,
ma_modelo_dispositivo,s_web,varchar,255,
ma_modelo_dispositivo,subtipo_orden,int,NULL,
ma_pvp,activo,int,NULL,MUL
ma_pvp,id_ma_articulo,int,NULL,MUL
ma_pvp,pvp_US,float,NULL,MUL
ma_pvp,id_ma_pvp,int,NULL,PRI
ma_pvp,fecha_creacion,timestamp,NULL,
ma_pvp,fecha_modificacion,timestamp,NULL,
ma_pvp,pvd_CNY,float,NULL,
ma_pvp,pvd_EUR,float,NULL,
ma_pvp,pvp_EN,float,NULL,
ma_pvp,pvp_ES,float,NULL,
ma_pvp,pvp_FR,float,NULL,
ma_pvp,pvp_GER,float,NULL,
ma_pvp,pvp_IT,float,NULL,
ma_pvp,pvp_MX,float,NULL,
ma_pvp,pvp_PL,float,NULL,
ma_pvp,pvp_PT,float,NULL,
ma_pvp,pvp_RO,float,NULL,
ma_pvp,usr_creacion,int,NULL,
ma_pvp,usr_modificacion,int,NULL,
ma_rfid,codigo,varchar,50,MUL
ma_rfid,rfid,varchar,100,UNI
ma_rfid,id_ma_rfid,int,NULL,PRI
ma_rfid,color,varchar,10,
ma_rfid,created_at,timestamp,NULL,
ma_rfid,ean_web,varchar,50,
ma_rfid,estado,int,NULL,
ma_rfid,id_usuario_modificador,int,NULL,
ma_rfid,observaciones,varchar,255,
ma_rfid,origen,varchar,255,
ma_rfid,referencia,varchar,255,
ma_rfid,subir_tpv,int,NULL,
ma_rfid,updated_at,timestamp,NULL,
ma_seccion,clave,varchar,11,UNI
ma_seccion,id_ma_seccion,int,NULL,PRI
ma_seccion,activo,int,NULL,
ma_seccion,descripcion,varchar,30,
ma_seccion,fecha_creacion,timestamp,NULL,
ma_seccion,fecha_modificacion,datetime,NULL,
ma_seccion,reg_departamento,decimal,NULL,
ma_seccion,usuario_creacion,varchar,20,
ma_seccion,usuario_modificacion,varchar,20,
ma_series_dispositivos,id_serie_dispositivo,int,NULL,PRI
ma_series_dispositivos,activo,int,NULL,
ma_series_dispositivos,descripcion,varchar,30,
ma_series_dispositivos,serie_ps,varchar,11,
ma_series_dispositivos_color,color,varchar,20,MUL
ma_series_dispositivos_color,id_series,varchar,11,MUL
ma_series_dispositivos_color,id_serie_color,int,NULL,PRI
ma_series_dispositivos_color,activo,int,NULL,
ma_series_dispositivos_color,cod_photo,varchar,10,
ma_series_dispositivos_color,descripcion,varchar,40,
ma_series_dispositivos_color,impresion,int,NULL,
ma_series_dispositivos_color,prioridad_mx,int,NULL,
ma_series_dispositivos_color,toa,int,NULL,
ma_series_dispositivos_color,tob,int,NULL,
ma_series_dispositivos_color,toc,int,NULL,
ma_series_dispositivos_color,tod,int,NULL,
ma_series_dispositivos_color,toe,int,NULL,
ma_series_dispositivos_color,tof,int,NULL,
ma_subfamilia,id_familia,int,NULL,MUL
ma_subfamilia,id_subfamilia,int,NULL,PRI
ma_subfamilia,activo,int,NULL,
ma_subfamilia,descripcion,varchar,11,
mala_calidad,shop_number,int,NULL,MUL
mala_calidad,id,int,NULL,PRI
mala_calidad,active,tinyint,NULL,
mala_calidad,anotations,text,65535,
mala_calidad,brand,varchar,150,
mala_calidad,codigo,varchar,20,
mala_calidad,creador,varchar,199,
mala_calidad,created_at,timestamp,NULL,
mala_calidad,descripcion,text,65535,
mala_calidad,model,varchar,199,
mala_calidad,nsemana,int,NULL,
mala_calidad,partida,varchar,10,
mala_calidad,type,varchar,150,
mala_calidad,updated_at,timestamp,NULL,
mala_calidad_problemas,id_problema,int,NULL,MUL
mala_calidad_problemas,problema_idioma_en,varchar,255,
mala_calidad_problemas,problema_idioma_es,varchar,255,
mala_calidad_problemas,problema_idioma_fr,varchar,255,
mala_calidad_problemas,problema_idioma_it,varchar,255,
mala_calidad_problemas,problema_idioma_pl,varchar,255,
mala_calidad_problemas,problema_idioma_pt,varchar,255,
mala_calidad_problemas,problema_idioma_ro,varchar,255,
mala_calidad_problemas,producto,varchar,50,
mala_calidad_problemas,validado,enum,1,
mala_calidad_uso,id_usuario,int,NULL,MUL
mala_calidad_uso,id_uso,int,NULL,PRI
mala_calidad_uso,articulo,varchar,50,
mala_calidad_uso,create_at,datetime,NULL,
mala_calidad_uso,partida,varchar,10,
mala_calidad_uso,tipo_registro,varchar,50,
operation_centers,country,varchar,3,MUL
operation_centers,id,int,NULL,PRI
operation_centers,active,tinyint,NULL,
operation_centers,address,varchar,255,
operation_centers,city,varchar,50,
operation_centers,created_at,timestamp,NULL,
operation_centers,description,varchar,255,
operation_centers,name,varchar,50,
operation_centers,updated_at,timestamp,NULL,
pk_articulos_put2light,id_articulo,varchar,15,MUL
pk_articulos_put2light,id_pk_articulos,int,NULL,PRI
pk_articulos_put2light,activo,tinyint,NULL,
pk_articulos_put2light,color,varchar,5,
pk_articulos_put2light,created_at,timestamp,NULL,
pk_articulos_put2light,dia,tinyint,NULL,
pk_articulos_put2light,rfid,tinyint,NULL,
pk_articulos_put2light,updated_at,timestamp,NULL,
pk_articulos_put2light,usuario_creacion,int,NULL,
pk_articulos_solo_venta,codigo_articulo,varchar,50,MUL
pk_articulos_solo_venta,id_pk_articulos_solo_venta,int,NULL,PRI
pk_articulos_solo_venta,color_articulo,varchar,50,
pk_articulos_solo_venta,created_at,timestamp,NULL,
pk_articulos_solo_venta,estado,int,NULL,
pk_articulos_solo_venta,updated_at,timestamp,NULL,
pk_cabecera_novedad,aplicado,tinyint,NULL,MUL
pk_cabecera_novedad,codigo,varchar,50,MUL
pk_cabecera_novedad,id_pk_cabecera_novedad,int,NULL,PRI
pk_cabecera_novedad,color,varchar,50,
pk_cabecera_novedad,created_at,timestamp,NULL,
pk_cabecera_novedad,fecha_aplicado,date,NULL,
pk_cabecera_novedad,modified_at,timestamp,NULL,
pk_cabecera_novedad,observacion,varchar,200,
pk_cabecera_novedad,pasar_a_pasillo,tinyint,NULL,
pk_cabeceras,anio,int,NULL,MUL
pk_cabeceras,nsemana,int,NULL,MUL
pk_cabeceras,picktolight,int,NULL,MUL
pk_cabeceras,tienda,varchar,4,MUL
pk_cabeceras,id_pk_cabeceras,int,NULL,PRI
pk_cabeceras,created_at,timestamp,NULL,
pk_cabeceras,denominacion_picking,enum,6,
pk_cabeceras,desc_picking,varchar,155,
pk_cabeceras,dia_finalizacion,date,NULL,
pk_cabeceras,estado,varchar,25,
pk_cabeceras,estado_envio,tinyint,NULL,
pk_cabeceras,fecha_asignacion_picker,timestamp,NULL,
pk_cabeceras,fecha_creacion,date,NULL,
pk_cabeceras,fecha_envio,date,NULL,
pk_cabeceras,fecha_fin,date,NULL,
pk_cabeceras,fecha_inicio,date,NULL,
pk_cabeceras,id_departamento,int,NULL,
pk_cabeceras,modified_at,timestamp,NULL,
pk_cabeceras,num_bultos,int,NULL,
pk_cabeceras,picker,int,NULL,
pk_cabeceras,referencia_externa,varchar,50,
pk_cabeceras,respondido_atox,tinyint,NULL,
pk_cabeceras,revisado_mx,tinyint,NULL,
pk_cabeceras,seguimiento,varchar,25,
