number,title,writers,originalAirDate,desc,id
1 - 1,Space Pilot 3000,"D.X. Cohen, M. Groening","March 28, 1999","A pizza delivery boy named Philip J. Fry accidentally stumbles into a cryogenic tube on Dеcember 31, 1999 and awakens on New Year's Eve in the year 2999, where he meets a mutant career counselor named Leela, an alcoholic robot named Bender, and his distant nephew Professor Farnsworth.",1
2 - 2,The Series Has Landed,Ken Keeler,"April 4, 1999","After delivering a package to an amusement park on the moon, Fry shows Leela how to appreciate the celestial body while Bender and Amy must try to recover the keys to the Planet Express ship.",2
3 - 3,"I, Roommate",Eric Horsted,"April 6, 1999","Fry gets kicked out of the Planet Express building and tries to find a place to live. When Bender's antenna wreaks havoc on the TV reception, Bender is kicked out of their new apartment and Fry must decide whether or not a place to live is more important than his best friend.",3
4 - 4,Love's Labours Lost in Space,Brian Kelley,"April 13, 1999","Leela meets Captain Zapp Brannigan on a mission to rescue animals from a hollow planet, depleted of all the dark matter that once filled it, on the verge of collapse, but Brannigan jails the crew for interfering. This episode sees the introduction of Nibbler.",4
5 - 5,Fear of a Bot Planet,"H. Lombard, E. Gore","April 20, 1999",Bender delivers a package to a Chapek 9 inhabited solely by human-hating robots and becomes an idol to them.,5
6 - 6,A Fishful of Dollars,Patric M. Verrone,"April 27, 1999","When Fry discovers that he's a billionaire thanks to a thousand years of compound interest on 93 cents, he uses the money to buy back things from his the 20th century. This includes spending millions on a can of anchovies, which are extinct in the year 3000. Mom, head of Mom's Friendly Robot Company, wants the anchovies for very different reasons.",6
7 - 7,My Three Suns,J. Stewart Burns,"May 4, 1999","Fry becomes emperor of a Trisol of water-based beings after he accidentally drinks the former ruler, Bont.",7
8 - 8,A Big Piece of Garbage,Lewis Morton,"May 11, 1999",A 21st-century garbage ball threatens to fall back to Earth and destroy New New York. Fry saves the day with his 20th-century garbage-making skills.,8
9 - 9,Hell Is Other Robots,Eric Kaplan,"May 18, 1999","To break his addiction to electricity, Bender finds religion by becoming a member of the Temple of Robotology. But when he reverts to his old ways, he is sent to Robot Hell.",9
10 - 1,A Flight to Remember,E. Horsted,"September 26, 1999",The Planet Express crew is sent on board the Titanic on a company vacation. Zapp Brannigan later steers the ship near a black hole. Bender falls in love with a countess and develops a strong commitment for her,10
11 - 2,Mars University,J. Stewart Burns,"October 3, 1999","Fry goes to college so he can successfully drop out, but ends up becoming roommates with a monkey made intelligent by Professor Farnsworth. Fry gets so jealous of the monkey that he decides to play a cruel trick on him, which makes him doubt his sentience. Bender joins the Robot House and pulls a series of pranks on the college board.",11
12 - 3,When Aliens Attack,Ken Keeler,"November 7, 1999","The Omicronians invade Earth, demanding to see the lost final episode of the 1999 TV show Single Female Lawyer which was cut off after Fry accidentally spilled beer on the TV broadcast console in 1999. The Planet Express crew must re-enact the episode to appease the invading aliens led by wannabe alien overlord Lrrr.",12
13 - 4,Fry & the Slurm Factory,Lewis Morton,"November 14, 1999","When Fry wins a free tour of the Slurm soda factory, he and his friends split off from the tour group and make a horrifying discovery concerning the secret ingredient that gives Slurm its famous addictiveness.",13
14 - 5,I Second That Emotion,Patric Verrone,"November 21, 1999","Professor Farnsworth installs an empathy chip in Bender after the inconsiderate robot flushes Nibbler down the toilet. With his newfound emotions, a concerned Bender ventures into the mutant-infested sewers to rescue Leela's beloved pet.",14
15 - 6,"Brannigan, Begin Again",Lewis Morton,"November 28, 1999","Upon destroying the new DOOP headquarters, Zapp Brannigan and Kif find themselves court-martialed and dishonorably discharged. They take up jobs at Planet Express, where Kif learns what respect feels like and Zapp incites a mutiny against Leela.",15
16 - 7,A Head in the Polls,J. Stewart Burns,"December 12, 1999","When the price of titanium skyrockets, Bender pawns his titanium-rich body and lives the high life as just a head. But when the head in a jar of Richard M. Nixon uses Bender's body to run for election for President of Earth, Bender vows to get his rightful property back.",16
17 - 8,Xmas Story,David X. Cohen,"December 19, 1999","To apologize for an inconsiderate remark, Fry searches for the perfect Xmas gift for Leela, all the while trying to avoid the murderous Santa Claus Robot, whose standards for niceness are astronomically high.",17
18 - 9,Why Must I Be a Crustacean in Love?,Eric Kaplan,"February 6, 2000","When Zoidberg runs amok during the Decapodian mating season, Fry sets out to teach him how to woo a mate but things backfire when Zoidberg's desired mate starts cheating on him and falls for Fry instead, and Zoidberg challenges Fry to a battle to the death.",18
19 - 10,Put Your Head on My Shoulders,Ken Keeler,"February 13, 2000","Fry's brief relationship with Amy is forcibly prolonged when a near-fatal car crash leaves Fry's head grafted to Amy's left shoulder. Meanwhile, Bender cashes in on Valentine's Day by starting a dating service.",19
20 - 11,The Lesser of Two Evils,Eric Horsted,"February 20, 2000","Fry suspects Bender's new buddy, a bending unit named Flexo who looks almost exactly like Bender, of being pure evil. When a valuable atom of Jumbonium goes missing, Fry suspects Flexo, but can't tell which robot is which.",20
21 - 12,Raging Bender,Lewis Morton,"February 27, 2000","Bender is the featured attraction in the Ultimate Robot Fighting League, but his glory is short-lived when he is instructed to intentionally lose his next match. Leela vows to lead Bender to victory, in an effort to show up Master Fnuog, her ex-martial arts teacher/rival.",21
22 - 13,A Bicyclops Built for Two,Eric Kaplan,"March 19, 2000","Leela meets Alkazar, who claims to be the only other remaining cyclops in the universe. But when Alcazar invites Leela back to his home planet and treats her like a slave, Fry suspects that something is amiss. He tells Leela that Alkazar is actually a jerk, which forces Leela to decide between being happy and saving the Cyclops race",22
23 - 14,How Hermes Requisitioned His Groove Back,Bill Odenkirk,"April 2, 2000","When Hermes takes a stress-relieving vacation, replacement bureaucrat Morgan Proctor becomes infatuated with Fry. Bender threatens to publicize their affair, but Morgan removes Bender's memory and hides it within the cavernous Central Bureaucracy.",23
24 - 15,A Clone of My Own,Patric M. Verrone,"April 9, 2000","Professor Farnsworth unveils his clone, Cubert Farnsworth, whom he plans to leave everything to upon his retirement. But Cubert wants no part of Farnsworth's lifestyle, prompting the professor into a premature retirement on the Near Death Star.",24
25 - 16,The Deep South,J. Stewart Burns,"April 16, 2000","A fishing trip over the ocean takes a turn for the worse when a colossal mouth bass pulls the Planet Express ship to the bottom of the sea. There, Fry falls in love with a mermaid named Umbriel, and the crew discovers the sunken city of Atlanta, Georgia.",25
26 - 17,Bender Gets Made,Eric Horsted,"April 30, 2000","Bender takes a new job in the Robot Mafia, but his loyalty is tested when he goes along on the robotic gangster's efforts to rob the Planet Express ship.",26
27 - 18,The Problem with Popplers,"P. M. Verrone, D. Henry","May 7, 2000","The crew discovers an irresistible source of food on a distant planet, and brings it back to Earth to be sold at the Fishy Joe's restaurant chain. But when it's discovered that the so-called Popplers are actually Omicronian babies. This causes the angry Omicronian race to invade earth in retaliation for their children being eaten the Omicronians demand recompense by having permission to eat Leela, who unfortunatley started the Poppler chain.",27
28 - 19,Mother's Day,Lewis Morton,"May 14, 2000","Mom reprograms the world's robots to rebel against humanity. The only hope of salvation is Mom's old flame - Professor Farnsworth, who must rekindle his romance with Mom in order to save mankind.",28
29 - 20,Anthology of Interest I,"E. Rogers, K. Keeler, D. Cohen","May 21, 2000","The Professor's What-If Machine simulates Bender, Leela and Fry's wishes. Bender discovers what it would be like if he were 500 feet tall, Leela discovers what it would be like if she were more impulsive, and Fry discovers what would happen if he never came to the future.",29
30 - 1,The Honking,Ken Keeler,"November 5, 2000","At his late Uncle Vladimir's estate, Bender is run over by a vicious Were-car, inheriting the curse. The only way to stop Bender's fatal transformations is to seek out and destroy the original Were-car - the deadly Project Satan.",30
31 - 2,War is the H-Word,Eric Horsted,"November 26, 2000","Upon enrolling in the Earth army to get a military discount at the convenience store, Fry and Bender are whisked into war against a planet of ball-like aliens. Leela secretly enters the ranks to keep an eye on her friends.",31
