id_ahorro_control_stock,anio,nsemana,ahorrado_put2light,ahorrado_picktolight
1,2022,26,5485,83141
2,2022,27,16150,81014
3,2022,28,10289,114070
4,2022,29,5485,85638
9,2022,30,7696,93310
10,2022,31,6978,106207
11,2022,32,622,175226
12,2022,33,6619,116842
13,2022,34,7228,125032
14,2022,35,5766,120834
15,2022,36,8456,141108
16,2022,37,6903,148656
17,2022,38,10541,151892
18,2022,39,13896,218940
19,2022,40,341,255692
20,2022,41,14006,228505
21,2022,42,27845,221840
22,2022,43,4547,213511
23,2022,44,7204,107047
24,2022,45,19940,113446
25,2022,46,17212,95683
26,2022,47,30255,123194
27,2022,48,23086,108692
28,2022,49,23034,128191
29,2022,50,32985,160671
30,2022,51,17739,165732
31,2022,52,73464,233000
32,2023,1,88415,193294
33,2023,2,49500,207527
34,2023,3,35905,172012
35,2023,4,38471,141435
36,2023,5,36448,167987
37,2023,6,29298,86237
38,2023,7,27137,91621
39,2023,8,28193,125371
40,2023,9,30951,121338
41,2023,10,24071,111807
42,2023,11,19547,129718
43,2023,12,17006,116339
44,2023,13,32012,127925
45,2023,14,54731,184562
46,2023,15,26580,184992
47,2023,16,14111,140993
48,2023,17,17189,155942
49,2023,18,194,119066
50,2023,19,0,145347
51,2023,20,136,74765
52,2023,21,0,47821
53,2023,23,0,133289
54,2023,24,7,96203
55,2023,25,0,53802
56,2023,26,0,111162
57,2023,27,0,58575
58,2023,28,0,93511
59,2023,29,0,74350
60,2023,30,4854,54736
61,2023,31,7117,59886
62,2023,32,5080,31316
63,2023,33,8479,43280
64,2023,34,9214,129599
65,2023,35,7202,51229
66,2023,36,6034,52360
67,2023,37,6244,105551
68,2023,38,7431,55696
69,2023,39,0,792805
70,2023,40,39388,100484
